source,target
équité,fairness
foi,faith
fidèles,faithful
faux,fake
tomber,fall
chute,falling
Falls,falls
faux,false
mensonge,falsehood
Fame,fame
familier,familiar
familiarité,familiarity
famille,family
célèbre,famous
fan,fan
Fans,fans
fantastique,fantastic
Fantasy,fantasy
loin,far
fart,fart
fasciné,fascinated
fascinant,fascinating
fascination,fascination
mode,fashion
fashioned,fashioned
rapidement,fast
plusrapide,faster
graisse,fat
père,father
faute,fault
fave,fave
faveur,favor
préférée,favorite
Favoris,favorites
préférés,favourite
favoris,favourites
peur,fear
craintes,fears
fonction,feature
Spécial,featured
fonctions,features
Featurette,featurette
featurettes,featurettes
mettantenvedette,featuring
nourris,fed
d'alimentation,feeding
sentir,feel
sentiment,feeling
sentiments,feelings
sent,feels
tomba,fell
garçon,fellow
sentir,felt
femelle,female
femme,femme
festival,festival
Fièvre,fever
peude,few
Fiction,fiction
fictive,fictitious
fiddle,fiddle
fidélité,fidelity
champ,field
champs,fields
quinze,fifteen
cinquième,fifth
cinquante,fifty
sebattre,fight
chasseur,fighter
combats,fighting
figuratifs,figurative
Figure,figure
figuré,figured
Chiffres,figures
figurant,figuring
fichier,file
remplir,fill
remplis,filled
filler,filler
comble,fills
Film,film
filmé,filmed
tournage,filming
cinéastes,filmmakers
films,films
final,final
Enfin,finally
financière,financial
financièrement,financially
rechercher,find
trouver,finding
constate,finds
beau,fine
plusbeaux,finest
doigts,fingers
finition,finish
fini,finished
finition,finishing
Finney,finney
incendie,fire
tiré,fired
cabinet,firm
fermement,firmly
entreprises,firms
premier,first
Firth,firth
poisson,fish
enforme,fit
s'adapte,fits
cinq,five
réparer,fix
Flair,flair
flamme,flame
plat,flat
saveur,flavor
faille,flaw
vicié,flawed
impeccable,flawless
défauts,flaws
volé,flew
Flick,flick
mouches,flies
vol,flight
Flip,flip
étage,floor
flux,flow
fleurie,flowery
flux,flows
fluff,fluff
flûte,flute
battant,flying
focus,focus
concentré,focused
seconcentre,focuses
enmettantl'accent,focusing
brouillard,fog
Foley,foley
Folk,folk
folks,folks
suivre,follow
suivi,follow-up
suivi,followed
suivant,following
suit,follows
nourriture,food
aliments,foods
idiot,fool
dupé,fooled
sots,fools
pied,foot
footage,footage
football,football
pour,for
interdit,forbidden
vigueur,force
forcé,forced
forces,forces
forcer,forcing
Ford,ford
étrangers,foreign
étranger,foreigner
avanttout,foremost
forêt,forest
toujours,forever
prévenu,forewarned
oublier,forget
oubliables,forgettable
pardonné,forgiven
pardonnant,forgiving
oubliée,forgotten
forme,form
format,format
ancien,former
formes,forms
formule,formula
stéréotypé,formulaic
etc,forth
chance,fortunate
Heureusement,fortunately
fortune,fortune
quarante,forty
versl'avant,forward
favoriser,foster
trouvé,found
Fondation,foundation
quatre,four
Fox,fox
fragile,fragile
France,france
franchise,franchise
francisco,francisco
Frank,frank
Frankenstein,frankenstein
frankie,frankie
franchement,frankly
Freaks,freaks
gratuit,free
liberté,freedom
français,french
Foire,frequently
fraîches,fresh
Freud,freud
ami,friend
amis,friends
amitié,friendship
friggin,friggin
peur,frightened
effrayant,frightening
àpartirde,from
front,front
fruits,fruits
frustrant,frustrating
lafrustration,frustration
complet,full
full-length,full-length
plein,fullest
fullscreen,fullscreen
pleinement,fully
rigolo,fun
fonction,function
intégrisme,fundamentalism
Lesfondamentalistes,fundamentalists
Funk,funk
funky,funky
drôle,funnier
drôle,funniest
drôle,funny
plusloin,further
enoutre,furthermore
fureur,fury
fusion,fusion
avenir,future
fuzzy,fuzzy
fx,fx
g,g
gabriel,gabriel
gain,gain
Galore,galore
jeu,game
jeux,games
gang,gang
Garage,garage
ordures,garbage
jardin,garden
Garner,garner
gary,gary
porte,gate
portes,gates
rassembler,gather
collecte,gathering
adonné,gave
gay,gay
gee,gee
GEM,gem
GEMS,gems
sexe,gender
général,general
généralisée,generalized
généralement,generally
généré,generated
génération,generation
générations,generations
génériques,generic
génie,genius
Genre,genre
Genres,genres
douce,gentle
véritablement,genuinely
géographiques,geographic
Géographie,geography
george,george
gerald,gerald
Allemand,german
Allemagne,germany
obtenir,get
obtient,gets
Gettin,gettin
S'y,getting
Ghost,ghost
fantômes,ghosts
géant,giant
géants,giants
cadeau,gift
Cadeaux,gifts
gilbert,gilbert
fille,girl
petiteamie,girlfriend
filles,girls
donner,give
donnée,given
donne,gives
donnant,giving
ravi,glad
flagrant,glaring
verre,glass
Glenn,glenn
aperçu,glimpse
mondiale,global
glorieux,glorious
gloire,glory
lumineux,glowing
aller,go
dieu,god
va,goes
allant,going
or,gold
Goldberg,goldberg
or,golden
allé,gone
gonna,gonna
Goo,goo
bien,good
aurevoir,goodbye
goofy,goofy
google,google
gordon,gordon
Gore,gore
sublime,gorgeous
Evangile,gospel
a,got
obtenu,gotten
Gouvernement,government
grâce,grace
grade,grade
grader,grader
niveleuses,graders
progressivement,gradually
diplômé,graduate
Grafton,grafton
grain,grain
granuleuse,grainy
grammaire,grammar
Grand,grand
petite-fille,granddaughter
grand-père,grandfather
Grand-mère,grandma
grand-père,grandpa
graphique,graphic
graphics,graphics
saisir,grasp
reconnaissants,grateful
grincement,grating
graves,grave
super,great
uneplusgrande,greater
plusgrand,greatest
grandement,greatly
grandeur,greatness
gourmande,greedy
vert,green
Greene,greene
greg,greg
aaugmenté,grew
gris,grey
chagrin,grief
grim,grim
grip,grip
préhension,gripping
Gritty,gritty
Groove,groove
rainures,grooves
Groovy,groovy
brut,gross
grossièrement,grossly
terre,ground
révolutionnaire,groundbreaking
groupe,group
groupes,groups
grandir,grow
croissante,growing
grandi,grown
pousse,grows
lacroissance,growth
macabre,gruesome
grunge,grunge
garantie,guarantee
garantie,guaranteed
Garde,guard
deviner,guess
deviné,guessed
devinettes,guessing
guest,guest
invités,guests
Guide,guide
coupable,guilty
guitare,guitar
guitariste,guitarist
Guitariste,guitarists
Guitares,guitars
Gulf,gulf
gun,gun
gut,gut
type,guy
guys,guys
gwen,gwen
habitude,habit
habitudes,habits
hack,hack
avait,had
cheveux,hair
moitié,half
àmi-chemin,halfway
Hall,hall
poinçon,hallmark
Hamilton,hamilton
marteau,hammer
Hammond,hammond
main,hand
poignée,handful
manutention,handling
mains,hands
beau,handsome
handy,handy
Hank,hank
arriver,happen
événements,happened
arrive,happens
bonheur,happiness
heureux,happy
dur,hard
hardcore,hardcore
plusdifficile,harder
àpeine,hardly
difficultés,hardships
dommage,harm
harmonies,harmonies
harmonie,harmony
harold,harold
Harriet,harriet
Harris,harris
Harrison,harrison
harry,harry
dures,harsh
Harvard,harvard
a,has
chapeau,hat
détester,hate
haï,hated
Hater,hater
haters,haters
hait,hates
haunting,haunting
avoir,have
ayant,having
ravages,havoc
hawaii,hawaii
il,he
tête,head
mauxdetête,headache
dirigé,headed
rubrique,heading
casque,headphones
têtes,heads
santé,health
sain,healthy
entendre,hear
entendu,heard
audience,hearing
entend,hears
cœur,heart
navrant,heartbreaking
sincères,heartfelt
coeurs,hearts
réconfortant,heartwarming
chaleur,heat
bruyères,heathers
ciel,heaven
lourd,heavier
lourdement,heavily
lourd,heavy
Heck,heck
tenircomptede,heed
taille,height
hauteurs,heights
héritier,heir
tenu,held
enfer,hell
bonjour,hello
aider,help
aidé,helped
intéressant,helpful
aider,helping
aide,helps
parconséquent,hence
henry,henry
Hepburn,hepburn
sa,her
Herbert,herbert
ici,here
héros,hero
Heroes,heroes
héroïque,heroic
héroïne,heroine
héros,heros
lasienne,hers
elle-même,herself
N'hésitez,hesitate
hé,hey
salut,hi
caché,hidden
masquer,hide
cache,hides
cacher,hiding
Hierarchy,hierarchy
haut,high
supérieur,higher
lesplusélevés,highest
mettreenévidence,highlight
Faitssaillants,highlights
hautement,highly
Autoroute,highway
hilarious,hilarious
hilarante,hilariously
Hill,hill
collines,hills
lui,him
lui-même,himself
Hint,hint
Hip,hip
hip-hop,hip-hop
hiphop,hiphop
hippie,hippie
son,his
sifflement,hiss
historien,historian
historique,historical
histoires,histories
histoire,history
toucher,hit
Hits,hits
Hokey,hokey
tenir,hold
détient,holds
trou,hole
trous,holes
vacances,holiday
creux,hollow
hollywood,hollywood
holmes,holmes
Holocauste,holocaust
sainte,holy
hommage,homage
Accueil,home
sans-abri,homeless
devoirs,homework
honnête,honest
honnêtement,honestly
honnêteté,honesty
miel,honey
Honky,honky
honneur,honor
hotte,hood
crochet,hook
crochets,hooks
hop,hop
espérer,hope
espéré,hoped
espoir,hopeful
espérons,hopefully
désespérément,hopelessly
espère,hopes
enespérant,hoping
trémie,hopper
Horn,horn
cornes,horns
horrible,horrendous
horrible,horrible
horriblement,horribly
horrible,horrid
horrifié,horrified
horreur,horror
cheval,horse
hôpital,hospital
hôte,host
chaud,hot
heures,hour
heures,hours
maison,house
desménages,household
comment,how
cependant,however
http,http
énorme,huge
Hugh,hugh
hein,huh
del'homme,human
l'humanité,humanity
humains,humans
humble,humble
fredonnant,humming
humour,humor
humour,humorous
humour,humour
cent,hundred
descentaines,hundreds
blesser,hurt
blesse,hurts
mari,husband
HYPE,hype
hypnotique,hypnotic
hypothèse,hypothesis
hystérique,hysterical
je,i
ie,i.e
idée,idea
idéal,ideal
idées,ideas
identifiés,identified
idéologique,ideological
idiot,idiot
idiot,idiotic
si,if
iggy,iggy
ignorante,ignorant
ignoré,ignored
ignore,ignores
ii,ii
iii,iii
malade,ill
illégales,illegal
illogique,illogical
illustre,illustrates
illustrations,illustrations
im,im
image,image
images,images
imaginable,imaginable
imaginaire,imaginary
imagination,imagination
imaginatif,imaginative
imaginer,imagine
imdb,imdb
imho,imho
imitation,imitation
immature,immature
immédiate,immediate
immédiatement,immediately
immediat,immediatly
immensément,immensely
immergé,immersed
immigrants,immigrant
impact,impact
touchés,impacted
impeccable,impeccable
invraisemblable,implausible
implications,implications
implique,implies
l'importation,import
importance,importance
Important,important
impossible,impossible
impressionner,impress
impressionné,impressed
impression,impression
impressions,impressions
impressionnant,impressive
améliorer,improve
améliorées,improved
amélioration,improvement
dans,in
enprofondeur,in-depth
inexactitudes,inaccuracies
inexacts,inaccurate
inane,inane
inappropriées,inappropriate
inceste,incest
incident,incident
comprennent,include
inclus,included
comprend,includes
ycomprisles,including
incohérent,incoherent
incompétence,incompetence
incompétents,incompetent
incomplète,incomplete
incompréhensible,incomprehensible
incompatibles,inconsistent
incorrecte,incorrect
incorrecte,incorrectly
augmenter,increase
incroyable,incredible
incroyablement,incredibly
Incubus,incubus
eneffet,indeed
indépendance,independence
indépendants,independent
Indiens,indians
indiquer,indicate
indication,indication
indie,indie
indispensable,indispensable
individuels,individual
individus,individuals
indulgent,indulgent
industrielle,industrial
Industrie,industry
inefficace,ineffective
inepte,inept
inévitable,inevitable
peucoûteux,inexpensive
inexplicable,inexplicable
inexplicablement,inexplicably
infâme,infamous
infatué,infatuated
infectieuses,infectious
inférieure,inferior
influence,influence
influencées,influenced
influences,influences
influents,influential
info,info
l'information,information
informative,informative
informé,informed
ingrédients,ingredients
habitants,inhabitants
inhérente,inherent
initiale,initial
initialement,initially
initiative,initiative
innocence,innocence
innocente,innocent
innovantes,innovative
insane,insane
àl'intérieur,inside
Insight,insight
perspicace,insightful
aperçu,insights
fade,insipid
insistance,insistence
l'insomnie,insomnia
inspiration,inspiration
Inspirational,inspirational
Inspirez,inspire
inspiré,inspired
inspirante,inspiring
exemple,instance
Instant,instant
instantanément,instantly
aulieude,instead
Insted,insted
instinct,instinct
instincts,instincts
Institut,institute
instruction,instruction
instructeur,instructor
instrument,instrument
instrumentale,instrumental
Instrumentals,instrumentals
Instrumentation,instrumentation
instruments,instruments
insupportable,insufferable
insulte,insult
insultant,insulting
assurance,insurance
intégrante,integral
l'intégration,integration
intellectuelle,intellectual
intellectuellement,intellectually
renseignement,intelligence
intelligents,intelligent
destinés,intended
intense,intense
intensité,intensity
intention,intention
intentions,intentions
interagir,interact
l'interaction,interaction
interactions,interactions
intérêt,interest
intéressées,interested
intéressant,interesting
intérêts,interests
Interlude,interlude
intermédiaires,intermediate
Internet,internet
interprétation,interpretation
interprétations,interpretations
interview,interview
entretiens,interviews
intimité,intimacy
intimidant,intimidating
dans,into
complexes,intricate
intrigue,intrigue
intrigué,intrigued
intrigant,intriguing
intro,intro
introduit,introduced
introduit,introduces
introduction,introducing
Introduction,introduction
introductions,introductions
introductive,introductory
introspective,introspective
inestimable,invaluable
invasion,invasion
inventé,invented
investi,invested
enquête,investigation
d'enquête,investigative
investisseurs,investors
invisible,invisible
inviter,invite
impliqués,involved
participation,involvement
implique,involves
impliquant,involving
Irlande,ireland
IRIS,iris
ironique,ironic
ironiquement,ironically
ironie,irony
irresponsable,irresponsible
irrité,irritated
Irritant,irritating
est,is
Islam,islam
problème,issue
émis,issued
questions,issues
il,it
Italien,italian
Italiens,italians
Italie,italy
article,item
ses,its
elle-même,itself
iTunes,itunes
iz,iz
ja,ja
Jack,jack
veste,jacket
jackson,jackson
Jacques,jacques
prison,jail
confiture,jam
james,james
confitures,jams
janvier,jan
Japonais,japanese
Jarring,jarring
jason,jason
mâchoire,jaw
mâchoires,jaws
jay,jay
Jazz,jazz
jalousie,jealousy
jean,jean
jeff,jeff
jeffrey,jeffrey
jennifer,jennifer
jesse,jesse
jessica,jessica
jesus,jesus
jet,jet
bijou,jewel
jewish,jewish
Juifs,jews
jim,jim
travail,job
emplois,jobs
joe,joe
john,john
johnny,johnny
johnson,johnson
rejoindre,join
rejoint,joined
mixte,joint
blague,joke
blagues,jokes
Jolie,jolie
jon,jon
jones,jones
joni,joni
Jordanie,jordan
joseph,joseph
journalisme,journalism
journaliste,journalist
voyage,journey
joie,joy
joyeuse,joyful
Judaïsme,judaism
Judas,judas
Judd,judd
juge,judge
juger,judging
julie,julie
Aller,jump
sauté,jumped
jumping,jumping
sauts,jumps
jung,jung
Jungle,jungle
Junk,junk
juste,just
justice,justice
Justification,justification
justifier,justify
mineurs,juvenile
k,k
Kane,kane
karaoké,karaoke
kate,kate
garder,keep
gardien,keeper
maintien,keeping
garde,keeps
keith,keith
kelly,kelly
kennedy,kennedy
gardé,kept
kevin,kevin
clé,key
clavier,keyboard
claviers,keyboards
touches,keys
kick,kick
Kicking,kicking
kicks,kicks
kid,kid
kidding,kidding
Kids,kids
tuer,kill
tué,killed
Killer,killer
Killers,killers
tuer,killing
kim,kim
gentil,kind
Kinda,kinda
roi,king
Kirk,kirk
embrasser,kiss
savait,knew
chevalier,knight
Knock,knock
savoir,know
sachant,knowing
connaissances,knowledge
bieninformés,knowledgeable
connus,known
sait,knows
Kong,kong
Koontz,koontz
Coréen,korean
Korn,korn
Kurosawa,kurosawa
kurt,kurt
l,l
La,l.a
La,la
lab,lab
étiquette,label
Labor,labor
lacé,laced
manquerde,lack
défaut,lacking
terne,lackluster
manque,lacks
Laden,laden
Mesdames,ladies
femme,lady
prévues,laid
laid-back,laid-back
lac,lake
agneaux,lambs
boiteux,lame
Lancaster,lancaster
territoire,land
PointdeRepère,landmark
paysage,landscape
paysages,landscapes
Lane,lane
langue,language
Langues,languages
grand,large
Agrandissez,larger
larry,larry
Las,las
laser,laser
dernier,last
duré,lasted
durable,lasting
enfin,lastly
dure,lasts
enretard,late
récents,lately
plustard,later
plustard,latest
Latin,latin
celui-ci,latter
rire,laugh
risible,laughable
rire,laughing
rires,laughs
laura,laura
droit,law
Pelouse,lawn
lawrence,lawrence
avocat,lawyer
allonger,lay
couche,layer
stratifiés,layered
couches,layers
portant,laying
layout,layout
fixe,lays
paresseux,lazy
Le,le
mener,lead
leader,leader
leader,leading
conduit,leads
Ligue,league
Leap,leap
sauts,leaps
apprendre,learn
appris,learned
l'apprentissage,learning
apprend,learns
minimum,least
laisser,leave
feuilles,leaves
laissant,leaving
conférence,lecture
conduit,led
lee,lee
gauche,left
héritage,legacy
juridique,legal
légende,legend
légendaire,legendary
légitime,legitimate
jambes,legs
Leigh,leigh
longueur,length
longueurs,lengths
longues,lengthy
Lennon,lennon
leonard,leonard
moins,less
moindre,lesser
leçon,lesson
enseignements,lessons
laisser,let
Déception,letdown
permet,lets
lettre,letter
lettres,letters
laissant,letting
niveau,level
niveaux,levels
lewis,lewis
li,li
liam,liam
menteur,liar
libérales,liberal
libéraux,liberals
Bibliothèque,library
Licence,license
Licks,licks
mentir,lie
réside,lies
vie,life
sansvie,lifeless
permanente,lifelong
styledevie,lifestyle
levé,lifted
lumière,light
éclairage,lighting
légèrement,lightly
lafoudre,lightning
lumières,lights
comme,like
sympathique,likeable
aimé,liked
probablement,likely
aime,likes
Demême,likewise
lil,lil
Lily,lily
limitée,limited
limites,limits
ligne,line
line-up,line-up
paquebot,liner
lignes,lines
lien,link
liée,linked
linkin,linkin
lion,lion
lèvres,lips
liste,list
énumérés,listed
écouter,listen
écouté,listened
auditeur,listener
auditeurs,listeners
écoute,listening
Ecoutes,listens
Classement,listing
listes,lists
lite,lite
littéral,literal
littéralement,literally
littéraire,literary
alphabétisés,literate
littérature,literature
jonchée,littered
petit,little
vivre,live
vécu,lived
animée,lively
vit,lives
vivant,living
charger,load
prêt,loan
locales,local
situé,located
emplacement,location
Emplacements,locations
verrouillé,locked
logique,logic
logiquement,logically
Lois,lois
lol,lol
Londres,london
solitude,loneliness
seul,lonely
long,long
delonguehaleine,long-winded
plus,longer
lepluslong,longest
nostalgie,longing
regarder,look
regarda,looked
recherchez,looking
regarde,looks
loose,loose
vaguement,loosely
seigneur,lord
Lore,lore
los,los
perdre,lose
perdant,loser
perd,loses
perdre,losing
perte,loss
perdu,lost
lot,lot
lots,lots
bruyant,loud
louis,louis
pouilleux,lousy
aimable,lovable
aimer,love
aimé,loved
ravissant,lovely
amant,lover
amoureux,lovers
aime,loves
aimer,loving
bas,low
petitbudget,low-budget
faible,lower
plusbas,lowest
loyale,loyal
loyauté,loyalty
lp,lp
LPS,lps
lucas,lucas
chance,luck
Heureusement,luckily
chanceux,lucky
lucy,lucy
ridicule,ludicrous
Lullaby,lullaby
luxuriante,lush
luther,luther
lyrique,lyric
lyrique,lyrical
lyriquement,lyrically
lyrisme,lyricism
Lyrics,lyrics
m,m
mac,mac
machine,machine
fou,mad
fait,made
madonna,madonna
mafia,mafia
Magazine,magazine
maggie,maggie
Magic,magic
magique,magical
magnifique,magnificent
mail,mail
principal,main
essentiellement,mainly
mainstream,mainstream
majeur,major
majorité,majority
faire,make
make-up,make-up
décideurs,makers
rend,makes
faire,making
mâle,male
malveillantes,malevolent
Mall,mall
mama,mama
homme,man
gérer,manage
géré,managed
gestion,management
gestionnaires,managers
gère,manages
obligatoire,mandatory
mandoline,mandolin
manipulation,manipulation
manière,manner
maniérismes,mannerisms
Manuel,manual
plusieurs,many
Plan,map
marc,marc
Mars,march
marilyn,marilyn
marque,mark
marché,market
commercialisés,marketed
marketing,marketing
marchés,markets
marques,marks
marié,married
épouser,marry
Mars,mars
Martha,martha
martin,martin
merveilleux,marvelous
Marvin,marvin
mary,mary
masculin,masculine
massacre,massacre
masses,masses
massives,massive
maître,master
magistral,masterful
magistralement,masterfully
mastering,mastering
chef-d'œuvre,masterpiece
chefs-d'œuvre,masterpieces
maîtrise,mastery
correspondre,match
matériel,material
math,math
importer,matter
matures,mature
maturité,maturity
max,max
mai,may
peut-être,maybe
mc,mc
McCartney,mccartney
McDonald,mcdonald
moi,me
repas,meal
repas,meals
signifier,mean
mesquin,mean-spirited
sens,meaning
desens,meaningless
significations,meanings
signifie,means
signifiait,meant
mesurée,measured
mesures,measures
viande,meat
mécaniques,mechanical
médecine,medicine
médiocre,mediocre
médiocrité,mediocrity
méditation,meditation
rencontrer,meet
réunion,meeting
réunions,meetings
rencontre,meets
mel,mel
mélancolie,melancholy
Mellow,mellow
mélodique,melodic
mélodies,melodies
mélodrame,melodrama
mélodramatique,melodramatic
mélodie,melody
membres,member
membres,members
Memoir,memoir
mémorable,memorable
souvenirs,memories
mémoire,memory
hommes,men
mentale,mental
mentalité,mentality
mention,mention
mentionnés,mentioned
Mentions,mentions
mentor,mentor
menu,menu
simplement,merely
mérite,merit
fond,merits
hypnotisé,mesmerized
désordre,mess
Message,message
Messages,messages
rencontré,met
métal,metal
métaphore,metaphor
métaphores,metaphors
méthode,method
méthodologie,methodology
méthodes,methods
Mexique,mexico
MI,mi
Miami,miami
michael,michael
mick,mick
mi,mid
Moyen,middle
minuit,midnight
milieu,midst
Mifune,mifune
pourrait,might
Mighty,mighty
mike,mike
légèrement,mildly
miles,miles
militaire,military
Miller,miller
millions,million
millions,millions
esprit,mind
Mindless,mindless
étatd'esprit,mindset
mon,mine
Mini,mini
mini-série,mini-series
minime,minimal
minimum,minimum
l'exploitationminière,mining
mineures,minor
minoritaires,minority
mins,mins
minute,minute
minutes,minutes
miroir,mirror
misérablement,miserably
misère,misery
égarés,misguided
induireenerreur,mislead
trompeuse,misleading
manquer,miss
raté,missed
misses,misses
manquant,missing
missy,missy
erreur,mistake
trompe,mistaken
erreurs,mistakes
Mitchell,mitchell
mix,mix
mixtes,mixed
lesmélanges,mixes
demélange,mixing
mélange,mixture
mo,mo
mob,mob
Mobb,mobb
mode,mode
modélisation,modeling
moderne,modern
moule,mold
maman,mom
moment,moment
moments,moments
argent,money
singe,monkey
Mono,mono
monotone,monotonous
monstre,monster
monstres,monsters
mois,month
mois,months
monty,monty
humeur,mood
Moody,moody
lune,moon
morale,moral
morale,morality
plus,more
deplus,moreover
morgan,morgan
matin,morning
Moron,moron
abrutis,morons
Morris,morris
morrison,morrison
mortel,mortal
plupart,most
surtout,mostly
mère,mother
mères,mothers
motion,motion
moto,motorcycle
montagne,mountain
montagnes,mountains
bouche,mouth
bouger,move
déménagé,moved
mouvements,movements
sedéplace,moves
movi,movi
film,movie
Films,movies
déplacement,moving
mp3,mp3
mr,mr
mrs,mrs
ms,ms
MTV,mtv
beaucoup,much
boueux,muddy
multiples,multiple
momie,mummy
mondaine,mundane
assassiner,murder
assassiné,murdered
meurtriers,murderers
Murray,murray
musique,music
musicale,musical
musicalement,musically
musicien,musician
musiciens,musicians
musicalité,musicianship
Musulmans,muslims
devoir,must
must-have,must-have
Àlireabsolument,must-read
àvoirabsolument,must-see
sourdine,muted
mon,my
Myers,myers
myriade,myriad
moi-même,myself
mystères,mysteries
mystérieux,mysterious
mystère,mystery
mythes,myths
n,n
clou,nail
naïf,naive
nu,naked
nom,name
nommée,named
àsavoir,namely
noms,names
nanny,nanny
récit,narrative
narrateur,narrator
nas,nas
nasales,nasal
nation,nation
nationaux,national
indigènes,native
naturel,natural
naturellement,naturally
nature,nature
naviguer,navigate
Marine,navy
nazis,nazis
NBC,nbc
prèsde,near
prèsde,nearly
nécessairement,necessarily
nécessaires,necessary
cou,neck
avoirbesoinde,need
nécessaire,needed
besoins,needs
Neeson,neeson
Négatif,negative
négativement,negatively
quartier,neighborhood
voisins,neighbors
Neil,neil
nonplus,neither
nelly,nelly
nelson,nelson
neveu,nephew
nerfs,nerves
nerveux,nervous
nid,nest
réseau,network
nevada,nevada
jamais,never
néanmoins,nevertheless
nouveau,new
nouveauvenu,newcomer
plusrécent,newest
nouvellement,newly
newman,newman
nouvelles,news
journal,newspaper
suivant,next
beau,nice
Nicholson,nicholson
nick,nick
Nielsen,nielsen
nuit,night
cauchemar,nightmare
nuits,nights
neuf,nine
Nineties,nineties
niro,niro
non,no
nobody,nobody
Noir,noir
bruit,noise
nolte,nolte
nommés,nominated
miseencandidature,nomination
non,non
inexistantes,non-existent
non-stop,non-stop
aucun,none
néanmoins,nonetheless
nonsense,nonsense
absurde,nonsensical
nope,nope
ni,nor
nora,nora
normal,normal
normalement,normally
norman,norman
nord,north
nez,nose
nostalgie,nostalgia
nostalgie,nostalgic
pas,not
notable,notable
notamment,notably
notch,notch
Note,note
notes,notes
rien,nothing
Avis,notice
remarqué,noticed
roman,novel
romans,novels
novice,novice
maintenant,now
nullepart,nowhere
nuancée,nuanced
nuances,nuances
nucléaire,nuclear
nude,nude
nudité,nudity
Numéro,number
numéros,numbers
nombreuses,numerous
nun,nun
infirmière,nurse
pépinière,nursery
noix,nuts
nwa,nwa
o,o
objets,objects
obligatoire,obligatory
odieux,obnoxious
observations,observations
observation,observing
obsédé,obsessed
obsessionnel,obsessive
obsolètes,obsolete
obtenir,obtain
obtenus,obtained
évident,obvious
évidemment,obviously
occasionnelle,occasional
occasions,occasions
occupation,occupation
seproduit,occurs
océan,ocean
Octobre,october
étrange,odd
étrangement,oddly
Chances,odds
Ode,ode
de,of
horstension,off
offbeat,offbeat
offensive,offensive
offre,offer
offrant,offering
offres,offerings
offre,offers
Bureau,office
officiellement,officially
fonctionnaires,officials
souvent,often
souvent,oftentimes
Oh!,oh
Ohio,ohio
d'accord,ok
okay,okay
ol,ol
vieux,old
âgées,older
Lesplusanciens,oldest
Olds,olds
omission,omission
omet,omits
sur,on
unefois,once
un,one
one-dimensional,one-dimensional
one-sided,one-sided
les,ones
encours,ongoing
uniquement,only
ouvert,open
opener,opener
ouverture,opening
ouvertement,openly
Opera,opera
avis,opinion
opinions,opinions
adversaire,opponent
opportunité,opportunity
opposé,opposite
oppression,oppression
option,option
options,options
ou,or
orchestre,orchestra
orchestre,orchestral
ordre,order
classés,ordered
commander,ordering
ordinaire,ordinary
organe,organ
organisation,organization
organisée,organized
organiser,organizing
orientée,oriented
origine,origin
original,original
originalité,originality
l'origine,originally
originaux,originals
Oscar,oscar
Oscars,oscars
autre,other
d'autres,others
sinon,otherwise
doit,ought
notre,our
nous-mêmes,ourselves
dehors,out
dépassées,outdated
Outlaw,outlaw
expose,outlines
sortie,output
Vainqueur,outright
àl'extérieur,outside
encirculation,outstanding
par-dessus,over
over-the-top,over-the-top
overacting,overacting
global,overall
négliger,overlook
négligé,overlooked
trop,overly
overplayed,overplayed
surproduite,overproduced
overrated,overrated
d'outre-mer,overseas
présentation,overview
devons,owe
owen,owen
doit,owes
posséder,own
Occasion,owned
propriétaires,owners
posséder,owning
p,p
ps,p.s
rythme,pace
paced,paced
Pacifique,pacific
pacino,pacino
Pack,pack
forfait,package
forfaits,packages
emballage,packaging
emballés,packed
Page,page
pages,pages
payés,paid
douleur,pain
douloureux,painful
péniblement,painfully
peinture,paint
peint,painted
peintre,painter
peintures,paintings
paire,pair
palais,palace
pâle,pale
Panther,panther
pants,pants
papier,paper
Broché,paperback
Documents,papers
par,par
Parade,parade
paradigme,paradigm
paradis,paradise
point,paragraph
points,paragraphs
parent,parent
lesparents,parents
paris,paris
Park,park
Stationnement,parking
parodie,parody
Partie,part
participants,participants
participer,participate
particulier,particular
particulièrement,particularly
partenaire,partner
Pièces,parts
fête,party
pass,pass
passage,passage
passages,passages
passé,passed
passant,passing
passion,passion
passionné,passionate
passé,past
pasteur,pastor
manifestement,patently
chemin,path
pathétique,pathetic
patience,patience
patricia,patricia
Patterson,patterson
paul,paul
payer,pay
payer,paying
pc,pc
paix,peace
pacifique,peaceful
pic,peak
Pearl,pearl
pédale,pedal
piétons,pedestrian
pairs,peers
parqué,penned
Penny,penny
gens,people
peuples,peoples
poivre,pepper
par,per
pourcentage,percentage
percussions,percussion
parfait,perfect
perfection,perfection
parfaitement,perfectly
réaliser,perform
représentation,performance
spectacles,performances
effectué,performed
interprète,performer
artistesinterprètesouexécutants,performers
spectacle,performing
exécute,performs
peut-être,perhaps
période,period
personne,person
personnelle,personal
personnalités,personalities
personnalité,personality
personnellement,personally
perspective,perspective
pervers,perverse
pet,pet
peter,peter
Animauxdecompagnie,pets
petits,petty
pg,pg
Ph.D,ph.d
phénoménal,phenomenal
phil,phil
philharmonique,philharmonic
philosophiques,philosophical
philosophie,philosophy
Téléphone,phone
photo,photo
photographié,photographed
photographies,photographs
Photographie,photography
Photos,photos
Phrases,phrases
phrasé,phrasing
physique,physical
pianiste,pianist
piano,piano
Pick,pick
picked,picked
picking,picking
Médiator,picks
image,picture
photos,pictures
