source,target
schneller,faster
fett,fat
Vater,father
Schuld,fault
fave,fave
Gunst,favor
Favoriten,favorite
Favoriten,favorites
Favoriten,favourite
Favoriten,favourites
Furcht,fear
Ängste,fears
Merkmal,feature
featured,featured
Merkmale,features
Featurette,featurette
featurettes,featurettes
mit,featuring
Fütterung,feeding
fühlen,feel
Gefühl,feeling
Gefühle,feelings
fühlt,feels
fällen,fell
Kerl,fellow
Filz,felt
weiblich,female
femme,femme
Festival,festival
Fieber,fever
wenig,few
Fiktion,fiction
fiktive,fictitious
Geige,fiddle
Treue,fidelity
Feld,field
Felder,fields
fünfzehn,fifteen
fünfte,fifth
fünfzig,fifty
Kampf,fight
Kämpfer,fighter
Kämpfe,fighting
Bildmarke,figurative
Figur,figure
bezifferten,figured
Zahlen,figures
Datei,file
füllen,fill
gefüllt,filled
Füllstoff,filler
füllt,fills
Film,film
gefilmt,filmed
Dreharbeiten,filming
Filmemacher,filmmakers
Filme,films
endg.,final
endlich,finally
finanzielle,financial
finanziell,financially
finden,find
Suche,finding
findet,finds
Bußgeld,fine
feinsten,finest
Finger,fingers
Finish,finish
fertig,finished
finney,finney
Feuer,fire
entlassen,fired
Firma,firm
fest,firmly
Unternehmen,firms
zuerst,first
firth,firth
Fisch,fish
passen,fit
passt,fits
fünf,five
reparieren,fix
Flair,flair
Flamme,flame
flach,flat
Geschmack,flavor
Fehler,flaw
mangelhaft,flawed
einwandfreie,flawless
Mängel,flaws
flog,flew
Flick,flick
Flug,flight
Flip,flip
Etage,floor
fließen,flow
blumig,flowery
fließt,flows
Flaum,fluff
Flöte,flute
fliegen,flying
Fokus,focus
konzentriert,focused
konzentriertsich,focuses
Schwerpunkt,focusing
Foley,foley
folk,folk
Leute,folks
folgen,follow
Follow-up,follow-up
gefolgt,followed
folgend,following
folgt,follows
Lebensmittel,foods
Narr,fool
täuschen,fooled
Narren,fools
Fuß,foot
Filmmaterial,footage
für,for
Kraft,force
gezwungen,forced
Kräfte,forces
ford,ford
Außen-,foreign
Ausländer,foreigner
Wald,forest
fürimmer,forever
vergessen,forget
forgettable,forgettable
vergessen,forgotten
Form,form
Format,format
ehemaligen,former
Formel,formula
formelhaft,formulaic
Glück,fortunate
zumGlück,fortunately
Vermögen,fortune
vierzig,forty
vorwärts,forward
gefunden,found
Stiftung,foundation
vier,four
Fuchs,fox
fragile,fragile
Franchise,franchise
frank,frank
frankenstein,frankenstein
frankie,frankie
offen,frankly
Freaks,freaks
frei,free
Freiheit,freedom
französisch,french
häufig,frequently
frisch,fresh
freud,freud
Freund,friend
Freunde,friends
Freundschaft,friendship
friggin,friggin
beängstigend,frightening
von,from
vor,front
Früchte,fruits
frustrierend,frustrating
Frustration,frustration
voll,full
invollerLänge,full-length
vollsten,fullest
Vollbild,fullscreen
voll,fully
Spaß,fun
Funktion,function
funk,funk
funky,funky
lustiger,funnier
lustigste,funniest
lustig,funny
weiter,further
darüberhinaus,furthermore
Wut,fury
Fusion,fusion
Zukunft,future
Fuzzy,fuzzy
fx,fx
g,g
gabriel,gabriel
gewinnen,gain
galore,galore
Spiel,game
Spiele,games
gang,gang
Garage,garage
Müll,garbage
Garten,garden
Garner,garner
gary,gary
Tor,gate
Tore,gates
gab,gave
Homosexuell,gay
gee,gee
gem,gem
Edelsteine,gems
Geschlecht,gender
allgemeine,general
allgemein,generally
generated,generated
Generation,generation
Generationen,generations
Generika,generic
Genie,genius
Genre,genre
Genres,genres
sanfte,gentle
wirklich,genuinely
geographischen,geographic
Geographie,geography
george,george
gerald,gerald
Deutsch,german
Deutschland,germany
bekommen,get
erhält,gets
gettin,gettin
Anreise,getting
Gespenst,ghost
Geister,ghosts
Riese,giant
Riesen,giants
Geschenk,gift
Geschenke,gifts
gilbert,gilbert
Mädchen,girl
Freundin,girlfriend
Mädchen,girls
geben,give
gegeben,given
gibt,gives
geben,giving
froh,glad
grellen,glaring
Glas,glass
glenn,glenn
Einblick,glimpse
glorreiche,glorious
Ruhm,glory
glühenden,glowing
gehen,go
Gott,god
geht,goes
gehend,going
Gold,gold
goldberg,goldberg
golden,golden
gegangen,gone
gonna,gonna
goo,goo
gut,good
AufWiedersehen,goodbye
Google,google
gore,gore
hinreißend,gorgeous
Evangelium,gospel
bekam,got
bekommen,gotten
Regierung,government
Gnade,grace
Grader,graders
allmählich,gradually
Diplom,graduate
körnig,grainy
Grammatik,grammar
grand,grand
Großvater,grandfather
Oma,grandma
Opa,grandpa
Grafik,graphic
graphics,graphics
erfassen,grasp
dankbar,grateful
Gitter,grating
Grab,grave
großartig,great
mehr,greater
größten,greatest
stark,greatly
Größe,greatness
gierig,greedy
grün,green
Greene,greene
greg,greg
wuchs,grew
grau,grey
Trauer,grief
grimmigen,grim
Greifen,gripping
gritty,gritty
Nut,groove
Nuten,grooves
groovy,groovy
Brutto-,gross
grob,grossly
Grund,ground
bahnbrechenden,groundbreaking
Gruppe,group
Gruppen,groups
wachsen,grow
wächst,growing
gewachsen,grown
wächst,grows
Wachstum,growth
grausigen,gruesome
grunge,grunge
Garantie,guarantee
garantiert,guaranteed
Wache,guard
raten,guess
erraten,guessed
Erraten,guessing
Bewertung,guest
Gäste,guests
Leitfaden,guide
schuldig,guilty
Gitarre,guitar
Gitarrist,guitarist
Gitarristen,guitarists
Gitarren,guitars
Golf,gulf
gun,gun
Kerl,guy
Jungs,guys
gwen,gwen
Gewohnheit,habit
Gewohnheiten,habits
hack,hack
hatte,had
Haar,hair
einhalb,half
aufhalbemWeg,halfway
Halle,hall
Markenzeichen,hallmark
hamilton,hamilton
Hammer,hammer
hammond,hammond
Hand,hand
Handhabung,handling
Hände,hands
attraktiv,handsome
handy,handy
hank,hank
passieren,happen
geschehen,happened
passiert,happens
Glück,happiness
glücklich,happy
hart,hard
hardcore,hardcore
härter,harder
kaum,hardly
Schaden,harm
Harmonien,harmonies
Harmonie,harmony
harold,harold
harris,harris
Harrison,harrison
harry,harry
hart,harsh
harvard,harvard
hat,has
Hut,hat
hassen,hate
haßte,hated
Hasser,hater
Hasser,haters
haßt,hates
haunting,haunting
haben,have
unter,having
Verwüstung,havoc
hawaii,hawaii
er,he
Kopf,head
Kopfschmerzen,headache
Leitung,headed
Position,heading
Kopfhörer,headphones
Köpfe,heads
Gesundheit,health
gesund,healthy
hören,hear
gehört,heard
Anhörung,hearing
hört,hears
Herz,heart
herzzerreißend,heartbreaking
herzlichen,heartfelt
Herzen,hearts
herzerwärmend,heartwarming
Hitze,heat
Heidekraut,heathers
Himmel,heaven
schwerer,heavier
stark,heavily
schwer,heavy
heck,heck
Acht,heed
Höhe,height
Höhen,heights
Erben,heir
gehalten,held
Hölle,hell
Hallo,hello
Hilfe,help
geholfen,helped
hilfreich,helpful
helfen,helping
hilft,helps
daher,hence
henry,henry
hepburn,hepburn
ihr,her
hier,here
Held,hero
Helden,heroes
heroischen,heroic
heros,heros
ihr,hers
sich,herself
zögern,hesitate
Hey,hey
hallo,hi
versteckt,hidden
verstecken,hide
Versteckt,hides
Versteck,hiding
hoch,high
höher,higher
höchsten,highest
Highlight,highlight
Highlights,highlights
hoch,highly
Autobahn,highway
Ausgelassen,hilarious
urkomisch,hilariously
Hügel,hill
Hügel,hills
ihn,him
sich,himself
Hinweis,hint
hip,hip
Hip-Hop,hip-hop
hiphop,hiphop
Hippie,hippie
sein,his
Zischen,hiss
Historiker,historian
historischen,historical
Geschichte,history
schlagen,hit
hits,hits
hokey,hokey
halten,hold
hält,holds
Loch,hole
Löcher,holes
Urlaub,holiday
hohle,hollow
hollywood,hollywood
holmes,holmes
Holocaust,holocaust
heilig,holy
Hommage,homage
Heim,home
Obdachlose,homeless
ehrlich,honest
ehrlich,honestly
Ehrlichkeit,honesty
Honig,honey
Honky,honky
Ehre,honor
Haube,hood
Haken,hook
Haken,hooks
hop,hop
Hoffnung,hope
Hoffnung,hoped
hoffentlich,hopefully
hoffnungslos,hopelessly
Hoffnungen,hopes
Hoffnung,hoping
Trichter,hopper
Horn,horn
Hörner,horns
horrenden,horrendous
horrible,horrible
schrecklich,horribly
abscheulich,horrid
Horror,horror
Pferd,horse
Krankenhaus,hospital
heiß,hot
Stunden,hour
Stunden,hours
Haus,house
wie,how
jedoch,however
http,http
riesig,huge
hugh,hugh
huh,huh
Menschen,human
Menschlichkeit,humanity
Menschen,humans
demütigen,humble
Summen,humming
Humor,humor
humorvollen,humorous
Humor,humour
Hunderte,hundreds
verletzen,hurt
tutweh,hurts
Ehemann,husband
Hype,hype
hypnotischen,hypnotic
Hypothese,hypothesis
hysterischen,hysterical
i,i
Idee,idea
Ideal,ideal
Ideen,ideas
identifiziert,identified
ideologische,ideological
Idiot,idiot
idiotisch,idiotic
wenn,if
iggy,iggy
unwissend,ignorant
ignoriert,ignored
ignoriert,ignores
ii,ii
iii,iii
krank,ill
unlogisch,illogical
Illustrationen,illustrations
im,im
Bild,image
Bilder,images
vorstellbar,imaginable
imaginären,imaginary
Phantasie,imagination
fantasievolle,imaginative
vorstellen,imagine
imdb,imdb
imho,imho
Nachahmung,imitation
sofortige,immediate
sofort,immediately
sofort,immediatly
immens,immensely
Auswirkungen,impact
belastet,impacted
tadellosen,impeccable
unplausibel,implausible
Auswirkungen,implications
Import,import
Bedeutung,importance
wichtig,important
unmöglich,impossible
beeindrucken,impress
beeindruckt,impressed
Eindruck,impression
Impressionen,impressions
beeindruckende,impressive
verbessern,improve
verbessert,improved
Verbesserung,improvement
in,in
eingehende,in-depth
Ungenauigkeiten,inaccuracies
ungenau,inaccurate
alberne,inane
unangemessen,inappropriate
gehören,include
inbegriffen,included
umfasst,includes
einschließlich,including
inkohärent,incoherent
inkompetent,incompetent
unvollständig,incomplete
Widerspruch,inconsistent
falsch,incorrect
falsch,incorrectly
erhöhen,increase
unglaublich,incredible
unglaublich,incredibly
incubus,incubus
allerdings,indeed
Unabhängigkeit,independence
Individuell,independent
Indianer,indians
angeben,indicate
Anzeige,indication
indie,indie
einzelnen,individual
Personen,individuals
Industrie,industrial
Industrie,industry
ungeschickt,inept
unvermeidlich,inevitable
billig,inexpensive
unerklärlich,inexplicable
unerklärlicherweise,inexplicably
berüchtigte,infamous
vernarrt,infatuated
Infektionskrankheiten,infectious
inferior,inferior
Einfluss,influence
beeinflusst,influenced
Einflüsse,influences
einflussreichsten,influential
info,info
Informationen,information
informativ,informative
informiert,informed
Zutaten,ingredients
Einwohner,inhabitants
ersten,initial
zunächst,initially
Unschuld,innocence
unschuldig,innocent
innovative,innovative
insane,insane
innen,inside
Einblick,insight
aufschlussreiche,insightful
Einblicke,insights
faden,insipid
Inspiration,inspiration
Inspiration,inspirational
inspirieren,inspire
inspiriert,inspired
inspirierend,inspiring
Beispiel,instance
Instant,instant
sofort,instantly
anstatt,instead
insted,insted
Instinkt,instinct
Instinkte,instincts
Institut,institute
Unterricht,instruction
Instruktor,instructor
Instrument,instrument
instrumental,instrumental
Instrumentals,instrumentals
Instrumentierung,instrumentation
Instrumente,instruments
unerträglich,insufferable
Beleidigung,insult
Beleidigung,insulting
geistigen,intellectual
intellektuell,intellectually
Intelligenz,intelligence
intelligente,intelligent
bestimmt,intended
intensive,intense
Intensität,intensity
Absicht,intention
Absichten,intentions
Interaktion,interact
Interaktion,interaction
Wechselwirkungen,interactions
Interesse,interest
interessiert,interested
interessant,interesting
Interessen,interests
Zwischenspiel,interlude
Zwischenziele,intermediate
Internet,internet
Auslegung,interpretation
Interpretationen,interpretations
Interview,interview
Interviews,interviews
Intimität,intimacy
in,into
verwickelte,intricate
fasziniert,intrigued
faszinierend,intriguing
intro,intro
eingeführt,introduced
führt,introduces
Einführung,introducing
Einführung,introduction
Introspektion,introspective
vonunschätzbaremWert,invaluable
erfunden,invented
investiert,invested
Untersuchung,investigation
unsichtbar,invisible
laden,invite
beteiligt,involved
Beteiligung,involvement
beinhaltet,involves
mit,involving
Irland,ireland
Ironie,ironic
ironisch,ironically
Ironie,irony
unverantwortlich,irresponsible
gereizt,irritated
reizend,irritating
ist,is
islam,islam
Angelegenheit,issue
ausgestellt,issued
Fragen,issues
es,it
Italienisch,italian
Italien,italy
Element,item
ihre,its
selbst,itself
itunes,itunes
iz,iz
ja,ja
jack,jack
Jacke,jacket
jackson,jackson
jacques,jacques
Gefängnis,jail
jam,jam
james,james
Staus,jams
Japanisch,japanese
Erschütterungen,jarring
jason,jason
Kiefer,jaw
Kiefer,jaws
jay,jay
Jazz,jazz
Eifersucht,jealousy
jeff,jeff
jeffrey,jeffrey
jennifer,jennifer
jesse,jesse
jessica,jessica
jesus,jesus
Juwel,jewel
Juden,jews
jim,jim
Job,job
Jobs,jobs
joe,joe
john,john
johnny,johnny
johnson,johnson
beteiligen,join
beigetreten,joined
Witz,joke
Witze,jokes
jolie,jolie
jones,jones
joni,joni
Jordanien,jordan
joseph,joseph
Journalist,journalist
Reise,journey
Freude,joy
freudige,joyful
judas,judas
Judd,judd
Richter,judge
Beurteilung,judging
julie,julie
direkt,jump
sprang,jumped
Springen,jumping
Sprünge,jumps
Dschungel,jungle
Junk,junk
nur,just
Gerechtigkeit,justice
rechtfertigen,justify
Jugendkriminalität,juvenile
k,k
kane,kane
Karaoke,karaoke
kate,kate
behalten,keep
Halter,keeper
halten,keeping
hält,keeps
keith,keith
kelly,kelly
gehalten,kept
kevin,kevin
Schlüssel,key
Tastatur,keyboard
Tastaturen,keyboards
Schlüssel,keys
kick,kick
kicking,kicking
kicks,kicks
kid,kid
Scherz,kidding
Kinder,kids
töten,kill
getötet,killed
killer,killer
Mörder,killers
Tötung,killing
kim,kim
freundlich,kind
kinda,kinda
König,king
Kuss,kiss
wusste,knew
Ritter,knight
wissen,know
Wissen,knowing
Wissen,knowledge
sachverständigen,knowledgeable
bekannt,known
weiß,knows
kong,kong
Koontz,koontz
Koreanisch,korean
korn,korn
Kurosawa,kurosawa
kurt,kurt
l,l
la,l.a
la,la
Label,label
Arbeit,labor
geschnürt,laced
Mangel,lack
fehlt,lacking
glanzlos,lackluster
fehlt,lacks
Damen,ladies
Dame,lady
gelegt,laid
laid-back,laid-back
Lämmer,lambs
lame,lame
lancaster,lancaster
Land,land
Wahrzeichen,landmark
Landschaft,landscape
Spur,lane
Sprache,language
Sprachen,languages
große,large
mehr,larger
larry,larry
las,las
Laser,laser
dauern,last
dauerte,lasted
dauerhafte,lasting
dauert,lasts
spät,late
inletzterZeit,lately
später,later
spätestens,latest
Latein,latin
Letzteres,latter
lachen,laugh
lächerlich,laughable
Lachen,laughing
lacht,laughs
laura,laura
Recht,law
Rasen,lawn
Rechtsanwalt,lawyer
legen,lay
Schicht,layer
geschichtet,layered
Schichten,layers
Layout,layout
legt,lays
faul,lazy
le,le
führen,lead
Führer,leader
führenden,leading
führt,leads
Liga,league
Sprung,leap
Sprünge,leaps
lernen,learn
gelernt,learned
Lernen,learning
lernt,learns
geringste,least
verlassen,leave
Blätter,leaves
verlassen,leaving
geführt,led
lee,lee
verließ,left
Vermächtnis,legacy
Rechtsgrundlage,legal
Legende,legend
legendären,legendary
Beine,legs
leigh,leigh
Länge,length
Längen,lengths
langwierige,lengthy
lennon,lennon
Leonard,leonard
weniger,less
geringerer,lesser
Lektion,lesson
Unterricht,lessons
lassen,let
Enttäuschung,letdown
können,lets
Schreiben,letter
Briefe,letters
Vermietung,letting
Ebene,level
Ebenen,levels
lewis,lewis
li,li
liam,liam
liberal,liberal
Liberale,liberals
Bibliothek,library
Lizenz,license
Licks,licks
Lüge,lie
liegt,lies
Leben,life
leblos,lifeless
Lifestyle,lifestyle
hob,lifted
Licht,light
Beleuchtung,lighting
Blitz,lightning
Lichter,lights
wie,like
gern,liked
wahrscheinlich,likely
mag,likes
lil,lil
Lilie,lily
begrenzt,limited
Grenzen,limits
line,line
Aufstellung,line-up
Liner,liner
Linien,lines
Link,link
verbunden,linked
linkin,linkin
Löwe,lion
Lippen,lips
Liste,list
aufgeführten,listed
hören,listen
angehört,listened
Zuhörer,listener
Hörer,listeners
Hören,listening
hört,listens
Inserat,listing
Listen,lists
lite,lite
wörtlich,literally
klein,little
leben,live
gelebt,lived
lebhaften,lively
Leben,lives
Wohnzimmer,living
laden,load
Darlehen,loan
lokalen,local
Lage,located
Standort,location
Standorte,locations
gesperrt,locked
Logik,logic
logisch,logically
Lois,lois
lol,lol
london,london
Einsamkeit,loneliness
einsam,lonely
lang,long
mehr,longer
längsten,longest
Aussehen,look
sah,looked
suchen,looking
sieht,looks
locker,loosely
Herr,lord
los,los
verlieren,lose
Verlierer,loser
verliert,loses
verlieren,losing
Verlust,loss
verloren,lost
viel,lot
Lose,lots
laut,loud
louis,louis
lausig,lousy
Liebe,love
geliebt,loved
lieblich,lovely
Liebhaber,lover
Liebhaber,lovers
liebt,loves
Liebe,loving
niedrig,low
Low-Budget-,low-budget
unteren,lower
loyale,loyal
Treue,loyalty
lp,lp
lps,lps
lucas,lucas
Glück,luck
zumGlück,luckily
glücklich,lucky
lucy,lucy
lächerlich,ludicrous
Wiegenlied,lullaby
üppig,lush
Luther,luther
Lyrik,lyric
lyrische,lyrical
lyrisch,lyrically
Lyrik,lyricism
lyrics,lyrics
m,m
mac,mac
Maschine,machine
irr,mad
hergestellt,made
madonna,madonna
Mafia,mafia
Magazin,magazine
Magie,magic
magische,magical
herrliche,magnificent
Mail,mail
hauptsächlich,main
vorallem,mainly
Mainstream,mainstream
bedeutend,major
machen,make
Make-up,make-up
Entscheidungsträger,makers
macht,makes
machen,making
männlich,male
böswillige,malevolent
Mall,mall
mama,mama
Mann,man
Verwaltung,manage
verwaltet,managed
Führungskräfte,managers
verwaltet,manages
Mandoline,mandolin
Manipulation,manipulation
Weise,manner
Manieren,mannerisms
Handbuch,manual
viele,many
anzeigen,map
marc,marc
Marsch,march
marilyn,marilyn
Marke,mark
Markt,market
vermarktet,marketed
Marketing,marketing
Märkte,markets
Marken,marks
verheiratet,married
heiraten,marry
mars,mars
martha,martha
martin,martin
wunderbar,marvelous
marvin,marvin
mary,mary
männlich,masculine
Massaker,massacre
Massen,masses
massive,massive
Meister,master
meisterhafte,masterful
meisterhaft,masterfully
Mastering,mastering
Meisterwerk,masterpiece
Meisterwerke,masterpieces
Meisterschaft,mastery
abgleichen,match
Material,material
math,math
Angelegenheit,matter
Ältere,mature
Reife,maturity
max,max
dürfen,may
vielleicht,maybe
mc,mc
mccartney,mccartney
McDonald,mcdonald
mich,me
bedeuten,mean
mean-spirited,mean-spirited
Sinne,meaning
sinnlos,meaningless
bedeutet,means
bedeutete,meant
Fleisch,meat
mittelmäßig,mediocre
Mittelmäßigkeit,mediocrity
begegnen,meet
Besprechung,meeting
Sitzungen,meetings
erfüllt,meets
mel,mel
Melancholie,melancholy
mellow,mellow
melodische,melodic
Melodien,melodies
Melodram,melodrama
melodramatischen,melodramatic
Melodie,melody
Mitglied,member
Mitglieder,members
Memoiren,memoir
unvergesslichen,memorable
Erinnerungen,memories
Speicher,memory
Männer,men
Mentalität,mentality
Erwähnung,mention
genannten,mentioned
erwähnt,mentions
Mentor,mentor
nur,merely
Verdienst,merit
Verdienste,merits
hypnotisiert,mesmerized
Durcheinander,mess
Nachricht,message
Nachrichten,messages
begegnet,met
Metall,metal
Metapher,metaphor
Metaphern,metaphors
Methode,method
Methoden,methods
Mexiko,mexico
mi,mi
miami,miami
michael,michael
mick,mick
Mitte,mid
Mitte,middle
Mitternacht,midnight
Mitte,midst
Mifune,mifune
könnte,might
mächtigen,mighty
mike,mike
mild,mildly
Meilen,miles
Militär,military
Müller,miller
Mio.,million
Millionen,millions
Verstand,mind
mindless,mindless
Denkweise,mindset
mein,mine
Mini,mini
Mini-Serie,mini-series
minimal,minimal
Moll,minor
Minderheit,minority
mins,mins
Minute,minute
Minute,minutes
Spiegel,mirror
kläglich,miserably
Elend,misery
fehlgeleiteten,misguided
irreführen,mislead
irreführend,misleading
fehlen,miss
verfehlt,missed
vermisst,misses
fehlend,missing
missy,missy
Fehler,mistake
verwechselt,mistaken
Fehler,mistakes
mitchell,mitchell
mix,mix
gemischt,mixed
Mixe,mixes
Mischen,mixing
Mischung,mixture
mo,mo
mob,mob
mobb,mobb
Modus,mode
modernen,modern
Schimmel,mold
Mama,mom
Moment,moment
Momente,moments
Geld,money
Affen,monkey
mono,mono
monotone,monotonous
Monster,monster
Monster,monsters
Monat,month
Monat,months
monty,monty
Laune,mood
launisch,moody
Mond,moon
mehr,more
außerdem,moreover
morgan,morgan
Morgen,morning
moron,moron
Idioten,morons
morris,morris
morrison,morrison
sterblich,mortal
äußerst,most
meist,mostly
Mutter,mother
Mütter,mothers
Bewegung,motion
Motorrad,motorcycle
Berg,mountain
Berge,mountains
Mund,mouth
bewegen,move
verschoben,moved
Bewegungen,movements
bewegt,moves
movi,movi
Film,movie
Filme,movies
Bewegung,moving
mp3,mp3
mr,mr
mrs,mrs
ms,ms
mtv,mtv
viel,much
schlammig,muddy
mehrere,multiple
Mumie,mummy
mundane,mundane
Mord,murder
ermordet,murdered
Murray,murray
Musik,music
Musical,musical
musikalisch,musically
Musiker,musician
Musiker,musicians
Musikalität,musicianship
müssen,must
"must-have""",must-have
must-see,must-see
gedämpft,muted
mein,my
myers,myers
mich,myself
geheimnisvollen,mysterious
Geheimnis,mystery
Mythen,myths
n,n
Nagel,nail
naive,naive
nackt,naked
Name,name
Namen,named
nämlich,namely
Namen,names
Kindermädchen,nanny
Erzählung,narrative
Erzähler,narrator
nas,nas
nasal,nasal
nationalen,national
natürlichen,natural
natürlich,naturally
Natur,nature
navigieren,navigate
Marine,navy
nazis,nazis
nbc,nbc
nahe,near
fast,nearly
unbedingt,necessarily
notwendig,necessary
Hals,neck
brauchen,need
erforderlich,needed
Bedürfnisse,needs
neeson,neeson
negative,negative
Nachbarschaft,neighborhood
Nachbarn,neighbors
neil,neil
weder,neither
nelly,nelly
nelson,nelson
Neffe,nephew
Nerven,nerves
Nest,nest
Netzwerk,network
nie,never
trotzdem,nevertheless
neu,new
Newcomer,newcomer
neueste,newest
neu,newly
newman,newman
News,news
Zeitung,newspaper
nächster,next
nett,nice
Nicholson,nicholson
nick,nick
Nielsen,nielsen
Nacht,night
Alptraum,nightmare
Nächte,nights
neun,nine
derneunzigerJahre,nineties
niro,niro
nein,no
niemand,nobody
noir,noir
Geräusch,noise
nolte,nolte
nominiert,nominated
Nominierung,nomination
nicht,non
inexistent,non-existent
non-stop,non-stop
keine,none
dennoch,nonetheless
Unsinn,nonsense
unsinnige,nonsensical
nope,nope
noch,nor
nora,nora
normal,normal
inderRegel,normally
Norden,north
Nase,nose
Nostalgie,nostalgia
Nostalgie,nostalgic
nicht,not
bemerkenswert,notable
insbesondere,notably
Kerbe,notch
Note,note
Notizen,notes
nichts,nothing
Hinweis,notice
bemerkt,noticed
Roman,novel
Neuling,novice
jetzt,now
nirgends,nowhere
nuancierten,nuanced
Nuancen,nuances
Kernenergie,nuclear
nude,nude
Nacktheit,nudity
Anzahl,number
Zahlen,numbers
Nonne,nun
Krankenschwester,nurse
Kindergarten,nursery
Nüsse,nuts
nwa,nwa
o,o
Objekte,objects
obligatorisch,obligatory
unausstehlich,obnoxious
Bemerkungen,observations
besessen,obsessed
obsessiv,obsessive
veraltet,obsolete
erhalten,obtain
klar,obvious
offensichtlich,obviously
gelegentliche,occasional
Gelegenheiten,occasions
Ozean,ocean
Oktober,october
merkwürdig,odd
seltsam,oddly
Odds,odds
ode,ode
von,of
aus,off
offbeat,offbeat
Offensive,offensive
anbieten,offer
Angebot,offering
Angebote,offerings
Angebote,offers
Büro,office
offiziell,officially
häufig,often
oft,oftentimes
oh,oh
ohio,ohio
OK,ok
okay,okay
ol,ol
alt,old
älteren,older
älteste,oldest
Jährigen,olds
Unterlassung,omission
unterlässt,omits
auf,on
einmal,once
eins,one
eindimensionale,one-dimensional
einseitig,one-sided
diejenigen,ones
laufenden,ongoing
nur,only
öffnen,open
Öffner,opener
Eröffnung,opening
offen,openly
Oper,opera
Meinung,opinion
Meinungen,opinions
Gegner,opponent
Gelegenheit,opportunity
gegenüber,opposite
Unterdrückung,oppression
Option,option
Optionen,options
oder,or
Orchester,orchestra
Orchester,orchestral
Auftrag,order
bestellt,ordered
Bestellung,ordering
gewöhnlichen,ordinary
Orgel,organ
Organisation,organization
organisiert,organized
Herkunft,origin
Original,original
Originalität,originality
ursprünglich,originally
Originale,originals
oscar,oscar
Oscars,oscars
andere,other
andere,others
anderenfalls,otherwise
sollte,ought
unser,our
uns,ourselves
aus,out
veraltet,outdated
Outlaw,outlaw
Konturen,outlines
Ausgang,output
Siegwette,outright
außen,outside
ausstehenden,outstanding
über,over
überkontrolliert,overacting
überall,overall
übersehen,overlook
übersehen,overlooked
übermäßig,overly
überbewertet,overplayed
Überproduktion,overproduced
überschätzt,overrated
Überblick,overview
verdanken,owe
owen,owen
verdankt,owes
eigen,own
Besitz,owned
Eigentümer,owners
Eigentümer,owning
p,p
ps,p.s
Tempo,pace
paced,paced
pacific,pacific
pacino,pacino
Packung,pack
Paket,package
Verpackung,packaging
verpackt,packed
Seite,page
Seiten,pages
bezahlt,paid
Schmerz,pain
schmerzhaft,painful
schmerzlich,painfully
Farbe,paint
Maler,painter
Gemälde,paintings
Paar,pair
Palast,palace
blass,pale
Panther,panther
pants,pants
Papier,paper
Paperback,paperback
Papiere,papers
par,par
Parade,parade
Paradigma,paradigm
Paradies,paradise
Absatz,paragraph
Absätze,paragraphs
Eltern,parent
Eltern,parents
paris,paris
Park,park
Parkplätze,parking
Parodie,parody
Teil,part
Teilnehmer,participants
Teilnahme,participate
insbesondere,particular
besonders,particularly
Partner,partner
Teile,parts
Party,party
pass,pass
Passage,passage
Weitergabe,passing
Leidenschaft,passion
Leidenschaft,passionate
Vergangenheit,past
offensichtlich,patently
Pfad,path
pathetisch,pathetic
Geduld,patience
patricia,patricia
Patterson,patterson
paul,paul
zahlen,pay
Zahlung,paying
pc,pc
Frieden,peace
friedlichen,peaceful
Peak,peak
Pedal,pedal
Fußgänger,pedestrian
peers,peers
Feder,penned
Penny,penny
Leute,people
Völker,peoples
Pfeffer,pepper
pro,per
Anteil,percentage
Percussion,percussion
perfekt,perfect
Perfektion,perfection
perfekt,perfectly
durchführen,perform
Leistung,performance
Aufführungen,performances
durchgeführt,performed
Performer,performer
Künstler,performers
Durchführung,performing
führt,performs
vielleicht,perhaps
Zeitraum,period
Person,person
persönlichen,personal
Persönlichkeiten,personalities
Persönlichkeit,personality
persönlich,personally
Perspektive,perspective
perverse,perverse
pet,pet
Peter,peter
kleinlich,petty
ph.d,ph.d
phänomenalen,phenomenal
phil,phil
Philharmonie,philharmonic
philosophischen,philosophical
Telefon,phone
Foto,photo
fotografiert,photographed
Fotografien,photographs
Fotografie,photography
Sätze,phrases
Phrasierung,phrasing
physikalischen,physical
Pianist,pianist
Klavier,piano
Pick,pick
hob,picked
Kommissionierung,picking
nimmt,picks
Bild,picture
pie,pie
Stück,piece
Stück,pieces
Pierce,pierce
Taube,pigeon
Pilates,pilates
Stapel,pile
rosa,pink
Rohre,pipes
erbärmlich,pitiful
pitt,pitt
Mitleid,pity
Platz,place
platziert,placed
Platzierung,placing
Pest,plague
plain,plain
Plan,plan
Planeten,planet
geplant,planned
Planung,planning
Pläne,plans
Anlage,plant
Kunststoff,plastic
Platin,platinum
spielen,play
gespielt,played
Spieler,player
Spieler,players
spielerisch,playful
spielen,playing
spielt,plays
angenehmen,pleasant
angenehm,pleasantly
bitte,please
zufrieden,pleased
Vergnügen,pleasure
viel,plenty
Grundstück,plot
Handlungsstrang,plotline
Grundstücke,plots
plus,plus
Gedicht,poem
Dichter,poet
poetische,poetic
Poesie,poetry
poignant,poignant
Punkt,point
wies,pointed
sinnlos,pointless
Punkte,points
Polizei,police
Politik,policies
Politik,policy
poliert,polished
politischen,political
